time_step,epochs,fine_tune_epochs,alpha,rmse_val,mae_val,stdout
20,10,0,0.7,nan,nan,
20,10,0,0.5,nan,nan,
20,10,0,0.6,nan,nan,
20,10,0,0.4,nan,nan,
20,10,8,0.4,nan,nan,
20,10,8,0.5,nan,nan,
20,10,8,0.6,nan,nan,
20,10,8,0.7,nan,nan,
20,10,12,0.5,nan,nan,
20,10,12,0.4,nan,nan,
20,10,12,0.7,nan,nan,
20,10,12,0.6,nan,nan,
20,20,0,0.4,nan,nan,
20,20,0,0.5,nan,nan,
20,20,0,0.6,nan,nan,
20,20,0,0.7,nan,nan,
20,20,8,0.4,nan,nan,
20,20,8,0.5,nan,nan,
20,20,8,0.6,nan,nan,
20,20,8,0.7,nan,nan,
20,20,12,0.5,nan,nan,
20,20,12,0.4,nan,nan,
20,20,12,0.6,nan,nan,
20,20,12,0.7,nan,nan,
